region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
SK,male,British Columbia,agree,probably yes,no,,extremely important,that depends ,no,,both,very important,definitely yes,probably not,probably not,,british english,sometimes,yes,yes,probably yes,probably not,strongly agree,neither disagree nor agree,agree,neither disagree nor agree,,64,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,1,5,2,,5,1,5,2.33333333333333,,5,4.11111111111111
ON,male,British Columbia,strongly agree,definitely yes,no,,important,that depends ,no,,both,important,probably yes,probably yes,probably not,no,no particular variety,rarely,yes,,probably yes,probably yes,strongly disagree,strongly disagree,agree,agree,,54,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,1,4,3,,4,1,4,3.66666666666667,,4,3.88888888888889
ON,female,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,definitely yes,64,canada,graduate degree,i am not currently studying,4,yes ,10,12 hours,5,4,4,4,4,5,4,5,5,4,4.5
ON,female,Ontario,strongly agree,definitely yes,no,,extremely important,that depends ,no,,zed,very unimportant,definitely yes,definitely yes,definitely not,,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,,64,canada,undergraduate degree,i am not currently studying,0,yes ,12,less than 30 minutes,1,5,4,,1,1,5,5,,1,3.66666666666667
BC,female,British Columbia,somewhat agree,neutral,no,,unimportant,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,often,yes,definitely yes,probably not,definitely yes,neither disagree nor agree,strongly disagree,strongly agree,neither disagree nor agree,definitely yes,34,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,5,4,4,5,5,5,5,5,5,5
US,female,United States,strongly agree,probably yes,no,,,yes,yes,,zee,important,probably yes,probably not,,yes ,british english,sometimes,,yes,definitely yes,definitely yes,,,strongly agree,,definitely yes,54,united states,postgraduate degree,i am in a graduate program,0,no,,less than 30 minutes,5,4,2,4,4,5,4,2.33333333333333,5,4,3.83333333333333
ON,male,Ontario,strongly agree,definitely yes,no,,important,that depends ,no,,both,important,definitely yes,probably yes,probably not,no,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,strongly agree,definitely yes,64,canada,high school,i am not currently studying,0,yes ,8,24 hours,1,5,3,4,4,1,5,3.66666666666667,5,4,4.41666666666667
US,female,Ontario,strongly agree,probably yes,yes,moderately comfortable,unimportant,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably not,agree,agree,agree,agree,definitely yes,59,canada,postgraduate degree,i am not currently studying,3,yes ,5,30 minutes to 1 hour,1,4,3,4,3,1,4,3.66666666666667,5,3,3.91666666666667
ON,female,British Columbia,,probably not,yes,extremely comfortable,unimportant,that depends ,no,,zed,unimportant,might or might not,probably not,probably not,no,canadian english,often,no,no,definitely yes,might or might not,strongly disagree,strongly disagree,neither disagree nor agree,neither disagree nor agree,definitely not,54,canada,undergraduate degree,i am not currently studying,0,yes ,9,24 hours,1,3,2,1,2,1,3,2.33333333333333,1,2,2.08333333333333
ON,female,British Columbia,agree,probably not,yes,extremely comfortable,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,probably not,yes ,british english,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,strongly disagree,definitely yes,24,canada,high school,fourth year+,0,yes ,3,less than 30 minutes,5,5,3,4,5,5,5,3.66666666666667,5,5,4.66666666666667
US,female,Ontario,agree,neutral,yes,neither comfortable nor uncomfortable,important,yes,yes,yes i do know it is ,zed,very unimportant,definitely yes,probably yes,definitely not,no,no particular variety,often,no,yes,definitely yes,definitely yes,agree,disagree,disagree,disagree,probably yes,79,canada,graduate degree,i am not currently studying,0,yes ,6,30 minutes to 1 hour,5,5,3,3,1,5,5,3.66666666666667,3.66666666666667,1,3.33333333333333
BC,female,British Columbia,strongly agree,definitely yes,yes,moderately comfortable,unimportant,that depends ,yes,yes i do know it is ,zee,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,neither yes or no,probably yes,might or might not,agree,disagree,agree,strongly agree,probably yes,24,canada,high school,fourth year+,7,yes ,7,46 hours,5,5,3,3,5,5,5,3.66666666666667,3.66666666666667,5,4.33333333333333
BC,female,British Columbia,strongly agree,probably yes,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,zed,unimportant,probably not,probably not,,no,british english,never,no,neither yes or no,probably not,probably not,agree,disagree,strongly agree,strongly disagree,probably yes,24,canada,undergraduate degree,i am in a graduate program,2,yes ,6,24 hours,5,2,2,3,2,5,2,2.33333333333333,3.66666666666667,2,2.5
BC,female,British Columbia,strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably not,definitely not,no,canadian english,often,yes,yes,probably yes,probably yes,strongly agree,agree,strongly agree,strongly agree,probably yes,69,canada,graduate degree,i am not currently studying,1,yes ,2,30 minutes to 1 hour,5,4,2,3,4,5,4,2.33333333333333,3.66666666666667,4,3.5
ON,female,Ontario,strongly agree,probably not,yes,extremely comfortable,important,yes,no,,zed,neither unimportant nor important,probably yes,probably yes,probably not,no,british english,often,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,disagree,agree,probably yes,69,canada,graduate degree,i am not currently studying,2,no,,30 minutes to 1 hour,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
ON,female,Ontario,strongly agree,,yes,extremely comfortable,,that depends ,yes,,both,neither unimportant nor important,,,probably not,no,british english,sometimes,no,yes,definitely yes,probably yes,,,,disagree,,24,canada,undergraduate degree,i am in a graduate program,0,no,,30 minutes to 1 hour,5,,,,3,5,,,,3,3
BC,male,British Columbia,somewhat agree,probably yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,,british english,sometimes,yes,yes,probably yes,definitely yes,disagree,disagree,strongly agree,agree,probably yes,49,canada,graduate degree,i am not currently studying,0,no,,24 hours,5,5,3,3,4,5,5,3.66666666666667,3.66666666666667,4,4.08333333333333
ON,male,Ontario,strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,,disagree,definitely yes,24,canada,high school,third year,0,no,,30 minutes to 1 hour,5,4,3,4,3,5,4,3.66666666666667,5,3,3.91666666666667
ON,male,other,agree,definitely not,yes,moderately comfortable,unimportant,that depends ,no,,zee,very important,definitely yes,probably yes,probably not,,canadian english,often,yes,yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly disagree,neither disagree nor agree,definitely yes,24,germany,high school,i am not currently studying,1,yes ,4,less than 30 minutes,1,5,3,4,5,1,5,3.66666666666667,5,5,4.66666666666667
AB,male,British Columbia,strongly agree,definitely yes,no,,important,no,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,,british english,sometimes,yes,yes,probably yes,might or might not,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,graduate degree,i am not currently studying,0,no,,24 hours,5,3,3,3,3,5,3,3.66666666666667,3.66666666666667,3,3.33333333333333
ON,female,Ontario,agree,neutral,no,,extremely unimportant,no,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely not,definitely not,yes ,british english,sometimes,yes,yes,probably not,probably yes,disagree,disagree,neither disagree nor agree,disagree,probably yes,44,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,1,3,5,5,5,1,3.66666666666667,5,3.66666666666667
ON,male,Alberta,strongly agree,neutral,no,,extremely unimportant,that depends ,no,,zed,very unimportant,definitely not,probably yes,definitely not,yes ,british english,often,no,definitely not,definitely yes,probably yes,agree,agree,neither disagree nor agree,neither disagree nor agree,probably yes,19,canada,high school,first year,0,yes ,10,12 hours,1,1,3,3,1,1,1,3.66666666666667,3.66666666666667,1,2.33333333333333
ON,male,Ontario,agree,probably yes,no,,important,yes,no,,zed,neither unimportant nor important,probably not,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,disagree,probably yes,39,canada,postgraduate degree,i am not currently studying,0,no,,less than 30 minutes,1,2,3,3,3,1,2,3.66666666666667,3.66666666666667,3,3.08333333333333
ON,female,Ontario,strongly agree,definitely yes,no,,important,yes,not sure,,zed,important,definitely yes,probably yes,definitely not,no,british english,always,yes,definitely yes,probably yes,definitely yes,neither disagree nor agree,neither disagree nor agree,,agree,probably yes,24,canada,undergraduate degree,fourth year+,0,yes ,6,24 hours,3,5,3,3,4,3,5,3.66666666666667,3.66666666666667,4,4.08333333333333
BC,male,Ontario,agree,neutral,yes,moderately comfortable,,that depends ,no,,both,neither unimportant nor important,probably yes,definitely yes,probably not,yes ,canadian english,often,,yes,definitely yes,probably yes,agree,disagree,agree,disagree,definitely yes,44,canada,undergraduate degree,i am not currently studying,1,yes ,2,12 hours,1,4,4,4,3,1,4,5,5,3,4.25
ON,female,Ontario,strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,39,canada,postgraduate degree,i am not currently studying,1,yes ,8,46 hours,5,4,3,3,4,5,4,3.66666666666667,3.66666666666667,4,3.83333333333333
ON,female,Ontario,agree,probably yes,no,,extremely important,no,no,,both,important,probably yes,probably yes,probably yes,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,disagree,agree,neither disagree nor agree,probably yes,34,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,1,4,3,3,4,1,4,3.66666666666667,3.66666666666667,4,3.83333333333333
MB,female,Manitoba,agree,neutral,no,,important,no,yes,yes i do know it is ,both,important,probably yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,definitely yes,probably yes,probably yes,neither disagree nor agree,disagree,agree,disagree,definitely yes,29,canada,graduate degree,i am not currently studying,0,no,,less than 30 minutes,5,4,4,4,4,5,4,5,5,4,4.5
ON,female,Ontario,strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,disagree,disagree,definitely yes,54,canada,high school,i am not currently studying,0,no,,30 minutes to 1 hour,5,5,4,4,4,5,5,5,5,4,4.75
ON,female,Ontario,agree,probably yes,no,,,yes,no,yes but i cant describe it well,zed,important,probably yes,probably yes,definitely not,no,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,disagree,agree,disagree,definitely yes,54,canada,graduate degree,i am not currently studying,0,no,,i dont use social media,1,4,3,4,4,1,4,3.66666666666667,5,4,4.16666666666667
ON,female,Ontario,strongly agree,probably yes,no,,extremely important,yes,yes,yes but i cant describe it well,both,very important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,disagree,neither disagree nor agree,disagree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,yes ,7,less than 30 minutes,5,5,3,3,5,5,5,3.66666666666667,3.66666666666667,5,4.33333333333333
